epoch,train_loss,train_acc,valid_loss,valid_acc
0,1.8956959207406199,0.21593147562028286,2.0187466794794258,0.22244897959183674
1,1.8067717163750288,0.28188840441778623,1.8670825199647383,0.2714285714285714
2,1.7671799539180284,0.30665545251322457,1.7425319064747204,0.3213358070500928
3,1.7385322672597476,0.3169695225869281,1.706696087663824,0.33506493506493507
4,1.7145491865243805,0.3315995661893274,1.6465412269939075,0.3673469387755102
5,1.6952210477228906,0.338328058254576,1.644409190524708,0.3654916512059369
6,1.6789952302246958,0.3446138863681636,1.633858767422763,0.37402597402597404
7,1.6599497393275913,0.35556981917177577,1.6078547564419834,0.38701298701298703
8,1.6447729622380125,0.3598415263053053,1.62492666461251,0.3849721706864564
9,1.6299758011035705,0.3670569487173812,1.6220823309638286,0.3706864564007421
10,1.6170426473188941,0.3706646599234191,1.5737888813018799,0.3996289424860853
11,1.6029358191436598,0.38111152918262103,1.5901827812194824,0.3868274582560297
12,1.5909613799513063,0.38427657643699786,1.587134859778664,0.3903525046382189
13,1.5773477889178842,0.3895442774617649,1.5609401572834363,0.40760667903525044
14,1.5628928374708366,0.39589650516810165,1.5345276919278235,0.41948051948051945
15,1.5483341203646714,0.4027356632212656,1.5144151557575574,0.41706864564007423
16,1.5384278083115481,0.4055244461167305,1.5328329584815286,0.42244897959183675
17,1.5261888557605525,0.41083641353666367,1.5430487719449129,0.42226345083487943
18,1.5090736726696572,0.4192912950133906,1.6285722038962627,0.41150278293135434
19,1.500215886683946,0.4207520860538722,1.5560361580415205,0.413543599257885
20,1.4874655262807777,0.42754697771187006,1.4762464544989848,0.4374768089053803
21,1.4680577771047532,0.4333901418737965,1.4572065635160967,0.44211502782931356
22,1.4632025541884173,0.43646665633784115,1.440867478197271,0.45250463821892395
23,1.4468614907746906,0.44414687589916113,1.5747029672969473,0.4230055658627087
24,1.4301628276203457,0.4482857838471924,1.512527346611023,0.43172541743970316
25,1.4179754056287615,0.45616520218675993,1.489308335564353,0.437291280148423
26,1.3990241570419144,0.4618977003607711,1.5007635788484055,0.436178107606679
27,1.3858197967657884,0.4687368584139351,1.4751869981939143,0.44972170686456403
28,1.372495710180047,0.47369469467253933,1.510310888290405,0.450278293135436
29,1.355765194035648,0.48040105354020496,1.4940700314261697,0.43896103896103894
30,1.3386256266176026,0.4879706071136097,1.5087607990611682,0.4452690166975881
31,1.3243532194180438,0.49374737168278704,1.4908530278639358,0.44805194805194803
32,1.3030919559885947,0.50224651955468,1.4921201359141956,0.4474953617810761
