epoch,train_loss,train_acc,valid_loss,valid_acc
0,1.8786265627812535,0.2367105472645928,1.8547629605640064,0.2847866419294991
1,1.829100783261875,0.2737788783834741,1.761680640957572,0.3122448979591837
2,1.8009303727392425,0.28921188440783224,1.6725338480689307,0.3575139146567718
3,1.7878563390613278,0.2995892079161198,1.7158764817497945,0.3608534322820037
4,1.7749667612172795,0.30449204715804656,1.7056602510538974,0.35788497217068643
5,1.7630226511066245,0.31096996906573704,1.6284911524165757,0.3808905380333952
6,1.7499399346820381,0.3159338249448369,1.7009991569952532,0.36512059369202227
7,1.749446223011124,0.31950407321086344,1.6164227778261357,0.37495361781076064
8,1.7388893567909631,0.3208249072067895,1.6351687908172607,0.36178107606679033
9,1.7387727020824022,0.32191933507741927,1.6023600534959275,0.3920222634508349
10,1.7294334476276985,0.32723767399559006,1.6463952606374568,0.37031539888682746
11,1.7298705328655788,0.32829746598581383,1.5960705171931873,0.3773654916512059
12,1.711289367433321,0.33531153476478653,1.5894590941342444,0.38571428571428573
13,1.704362543289271,0.3399608916579214,1.5898283557458357,0.39981447124304265
14,1.7012329195852336,0.34258399567771003,1.6382812803441829,0.38534322820037104
15,1.6961451465800652,0.3421592222206927,1.5872677672993054,0.3894248608534323
16,1.701455019961643,0.3412201676577774,1.5722250559113244,0.3961038961038961
17,1.6823529112810471,0.3524088114345068,1.514949614351446,0.4215213358070501
18,1.678547924521278,0.35286513781753215,1.5646040818908,0.40760667903525044
19,1.681283147995081,0.3508149194085017,1.5629046180031516,0.3955473098330241
20,1.6817468236395194,0.3506150480804649,1.5520842563022266,0.40946196660482376
21,1.671361356131775,0.35744493707162023,1.5141091942787173,0.4282003710575139
22,1.6669929499006544,0.35693690238988274,1.5307904048399492,0.42226345083487943
23,1.6664176148883365,0.35771665237295464,1.5156221660700708,0.42523191094619667
24,1.6422520667146154,0.3698302825459506,1.5084736347198489,0.4287569573283859
25,1.6320942997258931,0.3754419339881065,1.492869664322246,0.43116883116883115
26,1.6261864240560155,0.38020985962666515,1.498684996908361,0.4322820037105751
27,1.637228487575121,0.37253680310749465,1.5015812570398506,0.4294990723562152
